event_id,center_lat,center_lon,start_utc,end_utc,max_edr,mean_edr,n_reports,edr_bin,lat_min,lat_max,lon_min,lon_max
64,30.551,-83.3139,2019-01-27T12:37:50+00:00,2019-01-27T15:55:50+00:00,0.26,0.1604,53,moderate,26.736,33.681,-87.056,-79.676
65,31.5889,-83.2393,2023-11-26T12:41:10+00:00,2023-11-26T18:34:20+00:00,0.26,0.1466,58,moderate,28.002,35.175,-86.5,-79.694
66,34.872,-86.0054,2024-02-12T09:31:40+00:00,2024-02-12T15:31:20+00:00,0.26,0.1532,47,moderate,31.246,37.83,-89.463,-82.769
67,42.5074,-93.0969,2022-10-25T21:01:00+00:00,2022-10-26T00:57:40+00:00,0.257,0.1579,58,moderate,39.816,45.116,-96.795,-89.993
68,43.6572,-85.8929,2006-03-13T09:27:00+00:00,2006-03-13T09:59:00+00:00,0.25,0.1741,54,moderate,41.1033,46.02,-88.9883,-82.4142
69,39.1257,-89.3212,2009-12-15T21:43:54+00:00,2009-12-16T03:41:00+00:00,0.25,0.1527,37,moderate,35.7127,41.8417,-93.8733,-85.4467
70,39.831,-78.4346,2009-12-08T21:36:00+00:00,2009-12-09T03:32:00+00:00,0.25,0.1652,33,moderate,36.9183,42.8945,-82.1204,-74.8207
71,42.4973,-89.688,2007-09-25T18:08:00+00:00,2007-09-25T21:44:00+00:00,0.25,0.1591,33,moderate,39.6367,45.0533,-92.6317,-86.1786
72,43.2832,-83.8789,2011-04-11T09:00:00+00:00,2011-04-11T12:06:00+00:00,0.25,0.1688,32,moderate,40.6168,45.5167,-89.3523,-80.5478
73,40.9821,-96.5592,2006-06-17T12:41:00+00:00,2006-06-17T18:35:00+00:00,0.25,0.1652,33,moderate,37.595,43.6921,-100.1083,-92.7717
74,43.1366,-98.8582,2006-04-06T21:29:00+00:00,2006-04-07T03:24:00+00:00,0.25,0.1625,48,moderate,39.6088,46.595,-101.9556,-95.1817
75,42.5552,-98.2326,2007-06-12T15:31:00+00:00,2007-06-12T21:05:00+00:00,0.25,0.1575,40,moderate,39.2771,45.7434,-101.5583,-93.1085
76,39.5416,-78.8727,2007-01-15T12:15:00+00:00,2007-01-15T18:14:00+00:00,0.25,0.1526,38,moderate,36.9567,42.6498,-82.3277,-75.3267
77,41.6108,-75.0803,2010-11-04T12:16:04+00:00,2010-11-04T18:14:44+00:00,0.25,0.177,37,moderate,38.735,44.9933,-79.1,-71.2917
78,39.9302,-81.6802,2009-03-01T18:15:00+00:00,2009-03-02T00:07:00+00:00,0.25,0.1597,31,moderate,36.7512,42.745,-84.9625,-78.0025
79,42.3219,-89.7746,2011-03-04T21:07:41+00:00,2011-03-05T00:59:00+00:00,0.25,0.1531,32,moderate,39.4103,45.2628,-93.5094,-85.4095
80,41.9335,-92.0579,2009-04-18T21:04:00+00:00,2009-04-19T00:46:00+00:00,0.25,0.1611,36,moderate,39.1829,45.1303,-95.5388,-88.5983
81,42.1158,-79.7178,2006-10-17T09:00:00+00:00,2006-10-17T12:59:00+00:00,0.25,0.1529,34,moderate,39.188,45.1399,-84.3627,-76.0346
82,41.1037,-89.7425,2013-02-26T21:00:00+00:00,2013-02-27T00:21:40+00:00,0.25,0.1676,34,moderate,38.8934,44.5362,-92.0022,-87.4209
83,40.6105,-97.4302,2007-06-12T12:06:00+00:00,2007-06-12T15:56:00+00:00,0.25,0.1559,34,moderate,37.0667,43.5212,-101.1394,-93.7611
84,42.4793,-77.895,2006-04-14T09:10:00+00:00,2006-04-14T12:59:00+00:00,0.25,0.1529,34,moderate,39.3717,45.1504,-81.4983,-74.0867
85,39.8133,-85.0869,2006-03-13T12:06:00+00:00,2006-03-13T15:58:00+00:00,0.25,0.1643,35,moderate,36.3267,43.0044,-89.5604,-81.2466
86,42.644,-91.9144,2011-05-25T21:10:20+00:00,2011-05-26T03:08:00+00:00,0.25,0.1543,46,moderate,39.7995,46.0962,-95.9582,-88.5809
87,43.6085,-90.1585,2010-05-13T00:00:00+00:00,2010-05-13T03:59:00+00:00,0.25,0.1509,47,moderate,40.82,46.5284,-94.643,-86.4987
88,44.2079,-88.2073,2010-10-26T09:00:00+00:00,2010-10-26T12:57:00+00:00,0.25,0.1548,42,moderate,40.07,47.1595,-92.1211,-84.4956
