band,n,n_l,n_m,n_s,edr_sum,frac_l,frac_m,frac_s,edr_mean
FL180–260,9330155,119742,29501,9513,108979.82348632812,0.012833870391220725,0.0031618981678225066,0.0010195972092639405,0.011680387248264163
FL260–330,22684939,65165,9578,2161,126276.1644897461,0.002872610766112265,0.0004222184595691441,9.526144196376282e-05,0.005566519905111761
FL330–390,81325864,153840,8017,433,783529.0749511719,0.001891649131449744,9.857872521342042e-05,5.324259450843338e-06,0.009634438989190103
FL390+,2904701,8032,318,6,22819.790214538574,0.002765172732064333,0.00010947770527844346,2.0656170807253485e-06,0.007856158074286673
