fold,rmse,log_rmse,pearson,mae,auprc,auroc,loss
0,0.1799969656331359,0.1190329496391171,0.7640547207920028,0.12369357546170552,0.8183552357465402,0.8222222222222223,0.015004637651145458
1,0.16823867406317722,0.11016606156030566,0.8572066928855766,0.12828253152278754,0.8941325014854427,0.8666666666666667,0.011839636601507664
2,0.1751665323329475,0.11395354232478938,0.8766734560417166,0.13232929706573487,0.8022760521212534,0.8,0.01605067402124405
3,0.2084116498039956,0.1318453531244308,0.6027482637557038,0.1540222704410553,0.8453703703703705,0.8263888888888888,0.0178996454924345
4,0.20157972543637306,0.13377196147436982,0.5920144450202771,0.15575554159780344,0.7315759637188208,0.7478991596638656,0.016220202669501305
